11,11,16,11,47,14,243,245,10,2210
11,11,42,11,11,12,150,95,10,2210
11,11,42,11,11,12,150,95,10,2210
11,11,42,11,11,12,150,95,10,2218
11,11,44,11,16,79,232,194,10,2219
11,11,45,11,11,26,38,190,10,2219
11,11,45,11,11,26,38,190,10,2219
11,11,45,11,11,26,38,190,10,2227
11,11,47,11,17,23,95,128,10,2228
11,11,48,11,15,104,215,183,10,2228
11,11,49,11,15,104,215,182,10,2228
11,11,49,11,15,104,215,182,10,2228
11,11,49,11,15,104,215,182,10,2236
11,11,52,11,11,12,78,157,10,2236
115,11,55,15,12,240,14,15,10,2236
23,11,11,21,21,13,130,145,10,2300
27,11,12,11,88,18,63,139,10,2301
23,11,13,21,16,29,58,204,10,2301
23,11,13,21,16,29,58,204,10,2301
23,11,13,21,16,29,58,204,10,2309
11,11,15,11,60,11,21,203,10,2309
11,11,16,11,47,14,253,235,10,2309
11,11,42,11,11,12,18,227,10,2309
11,11,42,11,11,12,18,227,10,2309
11,11,42,11,11,12,18,227,10,2318
11,11,44,11,16,81,126,43,10,2318
11,11,45,11,11,26,126,102,10,2318
11,11,45,11,11,26,126,102,10,2318
11,11,45,11,11,26,126,102,10,2327
11,11,47,11,17,25,75,146,10,2327
11,11,48,11,15,106,52,89,10,2327
11,11,49,11,15,106,52,88,10,2327
11,11,49,11,15,106,52,88,10,2327
11,11,49,11,15,106,52,88,10,2335
11,11,52,11,11,12,78,157,10,2335
19,11,55,15,20,241,11,244,10,2336
23,11,11,21,17,13,157,122,10,2401
11,11,15,11,63,11,18,203,10,2409
11,11,16,11,47,14,241,247,10,2409
11,11,42,11,11,11,230,16,10,2410
11,11,42,11,11,11,230,16,10,2410
11,11,42,11,11,11,230,16,10,2418
11,11,44,11,16,83,66,101,10,2418
11,11,45,11,11,27,89,138,10,2418
11,11,45,11,11,27,89,138,10,2419
11,11,45,11,11,27,89,138,10,2427
43,11,47,11,17,26,19,211,10,2427
11,11,48,11,15,107,147,248,10,2427
11,11,49,11,15,107,147,247,10,2428
11,11,49,11,15,107,147,247,10,2428
11,11,49,11,15,107,147,247,10,2436
11,11,52,11,11,12,78,157,10,2436
19,11,55,15,20,241,11,244,10,2436
23,11,11,21,15,13,129,152,10,2501
27,11,12,11,83,18,62,145,10,2501
23,11,13,21,11,29,36,231,10,2502
23,11,13,21,11,29,36,231,10,2502
23,11,13,21,11,29,36,231,10,2510
11,11,15,11,59,11,21,204,10,2510
11,11,16,11,46,14,248,241,10,2510
11,11,42,11,11,12,18,227,10,2510
11,11,42,11,11,12,18,227,10,2510
11,11,42,11,11,12,18,227,10,2519
11,11,44,11,16,84,208,213,10,2519
11,11,45,11,11,26,126,102,10,2519
11,11,45,11,11,26,126,102,10,2519
11,11,45,11,11,26,126,102,10,2528
11,11,47,11,17,29,18,199,10,2528
11,11,48,11,15,108,243,151,10,2528
11,11,49,11,15,108,243,150,10,2528
11,11,49,11,15,108,243,150,10,2528
11,11,49,11,15,108,243,150,10,2536
11,11,52,11,11,12,78,157,10,2536
19,11,55,15,20,249,11,236,10,2536
11,11,11,11,25,13,147,114,10,2601
27,11,12,11,60,18,62,168,10,2601
23,11,13,21,13,29,62,203,10,2601
23,11,13,21,13,29,62,203,10,2601
23,11,13,21,13,29,62,203,10,2609
11,11,15,11,52,11,21,211,10,2609
11,11,16,11,47,14,254,234,10,2609
